orthology	SS1a	SS2b	SS4d	SS6f
M00160	0.142161304320215	0.0847487719043779	0.320406956277591	0.284570285716227
M00161	0.176136420531491	1.01894321136298	2.24826581082526	0.972027303498897
M00162	11.1277281632	11.1730997526927	11.0158151311385	9.46614138393141
M00163	0.0923749947486867	0.542124149714178	1.63425989857289	1.04578436229694
M00165	390.497094216906	398.550149150435	399.327234108503	397.08546128085
M00166	385.46738749212	400.209003980849	394.347373383388	387.073415235678
M00167	392.697590909	397.824400162129	401.505923175741	401.465731425613
M00168	286.532094459421	282.887115752093	273.36909379781	272.096633737242
M00169	803.787087070151	808.78123627844	804.355869555913	806.406235083123
M00170	163.424970389832	149.800015007225	146.314690816388	146.470330067075
M00171	113.720372151995	104.967121280933	108.764406490628	107.922805225195
M00172	432.738810084754	448.918768344095	440.897685057433	440.660043060987
M00173	393.003771145253	376.304543317405	382.664353590589	378.252605652306
M00174	3.95568174906028	5.35812645420853	5.09305148215933	4.36164478309218
M00175	49.5953844945219	74.2148733941306	64.088634391598	65.2776998797443
M00176	273.853298158159	279.131022557636	280.816479365123	276.891460863831
M00177	2.69196284780301	2.1104169320687	2.57097140550872	1.7723119559807
M00178	966.92531254111	932.402634496425	970.810376084253	925.43141969597
M00179	483.35895688332	465.64923947524	483.768569013492	461.669307810038
M00180	0.0357692595884552	0.608392025750017	0.342454930444393	0.377325221552485
M00181	0.0377130989862911	0.479496437455879	0.270248352454748	0.232372793844093
M00182	0.0290960376842062	0.511820846215394	0.2436363194706	0.279017971280335
M00183	780.991183247947	714.055728917462	715.599579143034	699.827429673217
M00184	5.30108721654477	5.51060431549072	5.92128003246742	3.38763008671351
M00185	319.179126746672	360.259951820768	368.533178517845	378.088918642705
M00186	176.945557936393	166.813059627149	166.391483512502	183.272061369575
M00188	1416.47186219581	1318.34901239209	1308.09653771467	1379.22154678781
M00189	129.176787880722	135.584183909377	144.518677710689	142.056533463355
M00190	381.545371807227	390.285571050523	377.090970487171	399.296556270459
M00191	14.9843743599249	13.0674378388005	16.8439457587561	13.446262998952
M00192	3.30480989434809	4.18782546962993	6.9631116819772	6.46529396314611
M00193	325.83626452124	383.701580551827	364.545965931002	405.725680493094
M00194	233.666803367154	284.421662091057	246.639688562944	290.449477901993
M00196	315.313691268863	323.827203808149	310.202789601142	344.295424712877
M00197	262.119830007365	271.52583771136	250.629965641156	289.222944343941
M00198	224.553320880675	251.534603300192	235.891701628761	247.683245936803
M00199	4.10042248314944	5.05119033396226	6.21385379061769	5.81365717253133
M00200	246.313920828016	304.598951574315	263.206893239958	308.944837162774
M00201	222.879683642852	229.821453803007	215.242725506719	245.976340945446
M00202	2.41389503046579	4.80404242404875	3.293953432502	4.55772820893849
M00204	32.2005748349262	79.1470527974491	56.0315059617084	76.8312846006982
M00205	0.50885569748952	0.943399452297817	1.35662432567996	1.66875632933197
M00206	262.858318332005	273.121448386579	252.070336763442	291.396950688973
M00207	702.390181200287	729.696958756879	709.68531367013	790.31069913476
M00208	31.5443058440764	44.9858701736853	43.5613474869666	52.0339669186259
M00209	101.636417445658	81.5005283724645	86.7006540255995	96.9748480158827
M00210	411.651736397906	455.778853065917	447.576828510988	411.133332490688
M00211	5.5696379326312	2.1349538519701	2.8111848830893	2.16324364321259
M00212	409.627308296814	512.843312761292	472.662856611593	546.658070238442
M00213	2.81778382591343	4.35142923946097	9.00527010728003	6.84638891140997
M00214	0.878839857284975	0.919646560391217	5.11328752395605	0.471544091053119
M00215	58.0249411500774	83.675602652333	72.8123909368999	84.837039704592
M00216	61.2874061280693	116.204934680211	100.275042330097	113.192762676332
M00217	0.214021464185248	0.166263112839183	1.1180662391829	0.509629885789952
M00218	44.1654507542617	102.458179454648	83.9216363859313	99.7541798318097
M00219	2.00282609501378	0.948527536015085	1.56844392399681	2.62661954484141
M00220	26.0621259701069	26.6175714862363	26.6067112140345	26.8910282758373
M00221	472.378543792467	663.540542770133	596.493514158743	675.105375883897
M00222	757.850988507842	726.072476904224	719.662172204836	689.537210270224
M00223	129.764524100066	126.716632692748	123.085776969848	126.032150313023
M00224	0.597438640449033	0.411137626547957	0.218929386757731	0.38852295815223
M00225	2.44646899131098	4.14189970276967	4.17993682144685	3.89550467323648
M00226	0.826491139324181	4.91465652953221	4.36145151808485	5.32035905773231
M00227	1.15333631060655	4.13634587467311	2.85690683896153	1.16371341282686
M00228	4.63911609904823	5.44968860815637	3.03955549746526	4.35620273327632
M00229	0.194997334035449	0.276470738476469	0.788102239585748	0.133544935818317
M00230	141.667104627393	211.306262254932	171.591023867023	188.480792917553
M00231	6.33889122358284	5.33058484101123	4.6929721533061	6.38041062434186
M00232	173.651686888322	147.966544164644	154.839970435157	171.193433909123
M00233	8.53419151864329	6.53206673453395	6.60004893711814	7.76149377915868
M00234	6.69459175574722	10.7488999923752	8.78892055605364	16.3362764570167
M00235	2.73795478222583	11.1572145191704	7.2190136109731	11.9702180352812
M00236	371.344347817666	497.400114145898	444.247736787375	489.400147861804
M00237	2465.9954770074	2712.79862484196	2612.01282662973	2728.71041809267
M00238	11.8351128109694	30.361518412424	23.5696430241564	30.9588064946742
M00239	1126.24885615307	1185.82004362613	1177.71353423702	1257.70855356047
M00240	165.975804547026	187.923612127623	194.167141832961	183.623651490123
M00241	0.53286800641266	1.20084942557363	0.93256340553322	1.18170308793863
M00242	32.4146951018992	27.2840416307014	28.8361476927509	30.4003567806877
M00243	24.3175655117957	23.1433649739332	21.5557439276219	22.5271159899517
M00244	115.639595765819	105.236774947719	101.550057871537	110.495423308578
